rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate,lastName,firstName,country_cpi,country_gdp,country_population,country_lat,country_long
15,68.0,Food & Beverage,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,True,M,12/1/1954 0:00,Zhong,Shanshan,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
16,64.4,Technology,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,United States,True,M,5/14/1984 0:00,Zuckerberg,Mark,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
17,59.0,Diversified,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,False,M,11/1/1935 0:00,Koch,Charles,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
17,59.0,Diversified,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,United States,False,F,4/12/1962 0:00,Koch,Julia,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
19,58.8,Fashion & Retail,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,M,6/7/1948 0:00,Walton,Jim,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
20,57.6,Fashion & Retail,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,False,M,10/27/1944 0:00,Walton,Rob,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
21,56.7,Fashion & Retail,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,False,F,10/7/1949 0:00,Walton,Alice,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
22,54.4,Media & Entertainment,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,Canada,False,M,6/12/1957 0:00,Thomson,David,116.76,"$1,736,425,629,520 ",36991981.0,56.130366,-106.346771
23,50.1,Technology,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,True,M,2/23/1965 0:00,Dell,Michael,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
24,47.2,Diversified,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,True,M,6/24/1962 0:00,Adani,Gautam,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
25,45.1,Fashion & Retail,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,True,M,2/24/1938 0:00,Knight,Phil,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
26,45.0,Technology,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,China,True,M,1/1/1984 0:00,Zhang,Yiming,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
27,42.9,Fashion & Retail,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,False,M,9/24/1939 0:00,Schwarz,Dieter,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
28,40.1,Fashion & Retail,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,True,M,8/21/1936 0:00,Pinault,François,110.05,"$2,715,518,274,227 ",67059887.0,46.227638,2.213749
29,39.1,Logistics,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,False,M,6/2/1937 0:00,Kuehne,Klaus-Michael,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
30,38.9,Food & Beverage,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,False,M,9/21/1964 0:00,Ferrero,Giovanni,117.11,"$529,606,710,418 ",11484055.0,50.503887,4.469936
31,38.3,Food & Beverage,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,False,F,10/10/1939 0:00,Mars,Jacqueline,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
31,38.3,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,M,10/15/1935 0:00,Mars,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
33,38.0,Diversified,Li Ka-shing,94.0,Hong Kong,,Diversified,Diversified,Hong Kong,True,M,6/13/1928 0:00,Li,Ka-shing,,,,,
34,35.3,Technology,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,True,M,10/29/1971 0:00,Ma,Huateng,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
35,35.0,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,False,F,10/10/1945 0:00,Adelson,Miriam,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
35,35.0,Finance & Investments,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,True,M,10/15/1968 0:00,Griffin,Ken,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
37,34.7,Food & Beverage,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,False,M,5/7/1992 0:00,Mateschitz,Mark,118.06,"$446,314,739,528 ",8877067.0,47.516231,14.550072
38,33.4,Automotive,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,True,M,1/1/1969 0:00,Zeng,Robin,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
39,32.6,Fashion & Retail,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,True,M,2/7/1949 0:00,Yanai,Tadashi,105.48,"$5,081,769,542,380 ",126226568.0,36.204824,138.252924
40,32.1,Diversified,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,True,M,6/1/1957 0:00,Blavatnik,Len,119.62,"$2,827,113,184,696 ",66834405.0,55.378051,-3.435973
41,31.6,Fashion & Retail,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,False,M,8/28/1948 0:00,Wertheimer,Alain,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
41,31.6,Fashion & Retail,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,False,M,1/9/1951 0:00,Wertheimer,Gerard,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
43,31.2,Logistics,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,M,6/27/1940 0:00,Aponte,Gianluigi,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
43,31.2,Logistics,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,F,3/26/1945 0:00,Aponte-Diamant,Rafaela,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
45,30.2,Technology,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,True,M,2/2/1980 0:00,Huang,Colin Zheng,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
46,29.7,Manufacturing,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,True,M,4/20/1935 0:00,Wuerth,Reinhold,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
47,29.5,Real Estate,Lee Shau Kee,95.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,M,1/29/1928 0:00,Lee,Shau Kee,,,,,
48,28.5,Finance & Investments,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,True,M,7/17/1958 0:00,Yass,Jeff,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
49,28.1,Finance & Investments,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,True,M,4/25/1938 0:00,Simons,Jim,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
50,27.8,Finance & Investments,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,True,M,2/14/1947 0:00,Schwarzman,Stephen,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
51,27.4,Automotive,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,False,F,4/28/1962 0:00,Klatten,Susanne,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
52,27.0,Metals & Mining,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,False,F,2/9/1954 0:00,Rinehart,Gina,119.8,"$1,392,680,589,329 ",25766605.0,-25.274398,133.775136
53,26.7,Technology,William Ding,51.0,China,Hangzhou,Online games,Technology,China,True,M,10/1/1971 0:00,Ding,William,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
54,26.6,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,False,M,10/26/1953 0:00,Larrea Mota Velasco,Germán,141.54,"$1,258,286,717,125 ",126014024.0,23.634501,-102.552784
55,25.6,Technology,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,True,M,7/18/1945 0:00,Nadar,Shiv,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
56,25.5,Energy,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,True,M,4/17/1948 0:00,Low Tuck,Kwong,151.18,"$1,119,190,780,753 ",270203917.0,-0.789275,113.921327
57,25.3,Finance & Investments,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,True,M,9/30/1944 0:00,Peterffy,Thomas,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
58,25.2,Metals & Mining,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,True,M,3/8/1972 0:00,Melnichenko,Andrey,114.52,"$421,142,267,938 ",9770529.0,23.424076,53.847818
59,24.6,Automotive,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,False,M,5/9/1966 0:00,Quandt,Stefan,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
60,24.4,Technology,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,False,F,4/7/1970 0:00,Scott,MacKenzie,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
61,24.2,Finance & Investments,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,False,M,1/1/1941 0:00,Hartono,R. Budi,151.18,"$1,119,190,780,753 ",270203917.0,-0.789275,113.921327
62,23.7,Metals & Mining,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,True,M,1/3/1961 0:00,Potanin,Vladimir,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756
63,23.5,Technology,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,True,M,9/10/1964 0:00,Ma,Jack,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
64,23.4,Manufacturing,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,True,M,8/11/1942 0:00,He,Xiangjian,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
65,23.1,Metals & Mining,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,False,F,1/1/1943 0:00,Fontbona,Iris,131.91,"$282,318,159,745 ",18952038.0,-35.675147,-71.542969
65,23.1,Manufacturing,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,False,M,10/2/1939 0:00,Hartono,Michael,151.18,"$1,119,190,780,753 ",270203917.0,-0.789275,113.921327
67,22.9,Manufacturing,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,M,1/1/1953 0:00,Ratcliffe,James,119.62,"$2,827,113,184,696 ",66834405.0,55.378051,-3.435973
68,22.6,Healthcare,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,False,M,5/11/1941 0:00,Poonawalla,Cyrus,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
69,22.4,Telecom,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,True,M,8/11/1957 0:00,Son,Masayoshi,105.48,"$5,081,769,542,380 ",126226568.0,36.204824,138.252924
70,22.1,Metals & Mining,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,True,M,5/7/1956 0:00,Lisin,Vladimir,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756
71,22.0,Food & Beverage,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,France,False,M,9/18/1970 0:00,Besnier,Emmanuel,110.05,"$2,715,518,274,227 ",67059887.0,46.227638,2.213749
72,21.6,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,F,12/19/1961 0:00,Johnson,Abigail,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
72,21.6,Energy,Leonid Mikhelson & family,67.0,Russia,Moscow,"Gas, chemicals",Energy,Russia,True,M,8/11/1955 0:00,Mikhelson,Leonid,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756
74,21.2,Fashion & Retail,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,United States,False,M,9/19/1986 0:00,Walton,Lukas,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
74,21.2,Service,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,China,True,M,10/1/1970 0:00,Wang,Wei,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
76,21.1,Technology,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,True,M,2/17/1963 0:00,Huang,Jensen,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
77,21.0,Fashion & Retail,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,False,M,3/19/1933 0:00,Lauder,Leonard,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
77,21.0,Manufacturing,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,Japan,True,M,6/10/1945 0:00,Takizaki,Takemitsu,105.48,"$5,081,769,542,380 ",126226568.0,36.204824,138.252924
79,20.9,Metals & Mining,Alexey Mordashov & family,57.0,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,True,M,9/26/1965 0:00,Mordashov,Alexey,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756
80,20.5,Energy,Vagit Alekperov,72.0,Russia,Moscow,Oil,Energy,Russia,True,M,9/1/1950 0:00,Alekperov,Vagit,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756
81,20.2,Healthcare,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,United States,True,M,8/12/1938 0:00,Frist,Thomas,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
82,19.6,Metals & Mining,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,Australia,True,M,11/18/1961 0:00,Forrest,Andrew,119.8,"$1,392,680,589,329 ",25766605.0,-25.274398,133.775136
83,19.1,Finance & Investments,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,8/8/1949 0:00,Dalio,Ray,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
84,19.0,Automotive,Eric Li,59.0,China,Hangzhou,Automobiles,Automotive,China,True,M,6/1/1963 0:00,Li,Eric,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
84,19.0,Metals & Mining,Wang Wenyin,55.0,China,Shenzhen,"Mining, copper products",Metals & Mining,China,True,M,3/1/1968 0:00,Wang,Wenyin,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
86,18.9,Diversified,Eyal Ofer,72.0,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,False,M,6/2/1950 0:00,Ofer,Eyal,,"$7,184,844,193 ",38964.0,43.7384176,7.4246158
86,18.9,Food & Beverage,Qin Yinglin,57.0,China,Nanyang,Pig breeding,Food & Beverage,China,True,M,4/17/1965 0:00,Qin,Yinglin,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
88,18.7,Automotive,Wang Chuanfu,57.0,China,Shenzhen,"Batteries, automobiles",Automotive,China,True,M,2/15/1966 0:00,Wang,Chuanfu,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
89,18.5,Energy,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,United States,True,M,12/11/1945 0:00,Hamm,Harold,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
89,18.5,Finance & Investments,David Tepper,65.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,True,M,9/11/1957 0:00,Tepper,David,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
89,18.5,Energy,Gennady Timchenko,70.0,Russia,Moscow,"Oil, gas",Energy,Russia,True,M,11/9/1952 0:00,Timchenko,Gennady,180.75,"$1,699,876,578,871 ",144373535.0,61.52401,105.318756
92,18.0,Finance & Investments,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,M,1/17/1962 0:00,Gilbert,Daniel,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
93,17.7,Metals & Mining,Lakshmi Mittal,72.0,United Kingdom,London,Steel,Metals & Mining,India,False,M,6/15/1950 0:00,Mittal,Lakshmi,119.62,"$2,827,113,184,696 ",66834405.0,55.378051,-3.435973
94,17.5,Finance & Investments,Steve Cohen,66.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,6/11/1956 0:00,Cohen,Steve,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
94,17.5,Finance & Investments,Carl Icahn,87.0,United States,Indian Creek,Investments,Finance & Investments,United States,True,M,2/16/1936 0:00,Icahn,Carl,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
94,17.5,Metals & Mining,Savitri Jindal & family,73.0,India,Hisar,Steel,Metals & Mining,India,False,F,3/20/1950 0:00,Jindal,Savitri,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
97,17.4,Real Estate,Donald Bren,90.0,United States,Newport Beach,Real estate,Real Estate,United States,True,M,5/11/1932 0:00,Bren,Donald,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
97,17.4,Fashion & Retail,"John Menard, Jr.",83.0,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,True,M,1/22/1940 0:00,Menard,John,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
99,17.1,Media & Entertainment,Rupert Murdoch & family,92.0,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,False,M,3/11/1931 0:00,Murdoch,Rupert,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
100,16.7,Finance & Investments,Vicky Safra & family,70.0,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,False,F,1/1/1953 0:00,Safra,Vicky,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
101,16.5,Fashion & Retail,"Theo Albrecht, Jr. & family",72.0,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,False,M,1/1/1951 0:00,Albrecht,Theo,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
101,16.5,Finance & Investments,Renata Kellnerova & family,55.0,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,False,F,7/4/1967 0:00,Kellnerova,Renata,116.48,"$246,489,245,495 ",10669709.0,49.817492,15.472962
103,16.3,Healthcare,Li Xiting,72.0,China,Shenzhen,medical devices,Healthcare,Singapore,True,M,1/1/1951 0:00,Li,Xiting,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
104,16.2,Fashion & Retail,Stefan Persson,75.0,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,False,M,10/4/1947 0:00,Persson,Stefan,110.51,"$530,832,908,738 ",10285453.0,60.128161,18.643501
104,16.2,Technology,Eric Schmidt,67.0,United States,Atherton,Google,Technology,United States,True,M,4/27/1955 0:00,Schmidt,Eric,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
106,16.0,Finance & Investments,Michael Platt,55.0,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,True,M,3/18/1968 0:00,Platt,Michael,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
107,15.9,Food & Beverage,Pang Kang,67.0,China,Foshan,Soy sauce,Food & Beverage,China,True,M,1/19/1956 0:00,Pang,Kang,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
108,15.8,Fashion & Retail,Karl Albrecht Jr. & family,,Germany,,Supermarkets,Fashion & Retail,Germany,False,M,,Albrecht Jr.,Karl,112.85,"$3,845,630,030,824 ",83132799.0,51.165691,10.451526
108,15.8,Fashion & Retail,Beate Heister,,Germany,,Supermarkets,Fashion & Retail,Germany,False,F,,Heister,Beate,,,,51.165691,10.451526
108,15.8,Food & Beverage,Jorge Paulo Lemann & family,83.0,Switzerland,Zurich,Beer,Food & Beverage,Brazil,True,M,8/26/1939 0:00,Lemann,Jorge Paulo,99.55,"$703,082,435,360 ",8574832.0,46.818188,8.227512
108,15.8,Real Estate,Peter Woo,76.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,M,9/5/1946 0:00,Woo,Peter,,,,,
112,15.6,Healthcare,Dilip Shanghvi,67.0,India,Mumbai,Pharmaceuticals,Healthcare,India,True,M,10/1/1955 0:00,Shanghvi,Dilip,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
113,15.5,Technology,Robert Pera,45.0,United States,San Jose,Wireless networking,Technology,United States,True,M,3/10/1978 0:00,Pera,Robert,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
114,15.3,Fashion & Retail,Radhakishan Damani,68.0,India,Mumbai,"Retail, investments",Fashion & Retail,India,True,M,1/1/1955 0:00,Damani,Radhakishan,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
115,15.2,Automotive,Huang Shilin,56.0,China,Ningde,Batteries,Automotive,China,True,M,1/1/1967 0:00,Huang,Shilin,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
116,14.9,Diversified,Dhanin Chearavanont,83.0,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,4/19/1939 0:00,Chearavanont,Dhanin,113.27,"$543,649,976,166 ",69625582.0,15.870032,100.992541
116,14.9,Fashion & Retail,David Green & family,81.0,United States,Oklahoma City,Retail,Fashion & Retail,United States,True,M,11/13/1941 0:00,Green,David,117.24,"$21,427,700,000,000 ",328239523.0,37.09024,-95.712891
118,14.8,Food & Beverage,Charoen Sirivadhanabhakdi,78.0,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,Thailand,True,M,5/2/1944 0:00,Sirivadhanabhakdi,Charoen,113.27,"$543,649,976,166 ",69625582.0,15.870032,100.992541
119,14.7,Food & Beverage,Charlene de Carvalho-Heineken & family,68.0,United Kingdom,London,Heineken,Food & Beverage,Netherlands,False,F,6/30/1954 0:00,de Carvalho-Heineken,Charlene,119.62,"$2,827,113,184,696 ",66834405.0,55.378051,-3.435973
120,14.6,Healthcare,Xu Hang,60.0,China,Shenzhen,Medical devices,Healthcare,Hong Kong,True,M,5/22/1962 0:00,Xu,Hang,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
121,14.5,Automotive,Wei Jianjun & family,59.0,China,Baoding,Automobiles,Automotive,China,True,M,3/1/1964 0:00,Wei,Jianjun,125.08,"$19,910,000,000,000 ",1397715000.0,35.86166,104.195397
122,14.4,Metals & Mining,Alisher Usmanov,69.0,Uzbekistan,Tashkent,"Steel, telecom, investments",Metals & Mining,Russia,True,M,9/9/1953 0:00,Usmanov,Alisher,,"$57,921,286,440 ",33580650.0,41.377491,64.585262
123,14.3,Manufacturing,Goh Cheng Liang,95.0,Singapore,Singapore,Paints,Manufacturing,Singapore,True,M,6/27/1927 0:00,Goh,Cheng Liang,114.41,"$372,062,527,489 ",5703569.0,1.352083,103.819836
124,14.2,Diversified,Kumar Birla,55.0,India,Mumbai,Commodities,Diversified,India,False,M,6/14/1967 0:00,Birla,Kumar,180.44,"$2,611,000,000,000 ",1366417754.0,20.593684,78.96288
